date,time,x-edge-location,sc-bytes,c-ip,cs-method,cs\(Host),cs-uri-stem,sc-status,cs\(Referer),cs\(User-Agent),cs-uri-query,cs\(Cookie),x-edge-result-type,x-edge-request-id,x-host-header,cs-protocol,cs-bytes,time-taken,x-forwarded-for,ssl-protocol,ssl-cipher,x-edge-response-result-type,cs-protocol-version,fle-status,fle-encrypted-fields,c-port,time-to-first-byte,x-edge-detailed-result-type,sc-content-type,sc-content-len,sc-range-start,sc-range-end
2025-12-26,20:39:28,CDG54-P2,334,45.132.194.17,GET,dbkbtek9v7jgv.cloudfront.net,/favicon.ico,404,-,Go-http-client/1.1,-,-,Error,YUQi2t8dhKIKKFoL6ovsuLdsU53Rvwip4U_kDLTqJhivXsww0KVOWw\=\=,dbkbtek9v7jgv.amplifyapp.com,https,120,0.101,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,60336,0.101,Error,-,0,-,-
2025-12-26,20:39:27,HEL51-P7,608,212.112.19.88,GET,dbkbtek9v7jgv.cloudfront.net,/,301,-,Mozilla/5.0%20\(X11;%20Linux%20x86_64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/137.0.0.0%20Safari/537.36,-,-,Redirect,f5wuk6Iy8HC0vB1-UlAeeatrJpw8hhKE7uELFkmeuOUKBbljQGBUQg\=\=,dbkbtek9v7jgv.amplifyapp.com,http,192,0.002,-,-,-,Redirect,HTTP/1.1,-,-,47466,0.002,Redirect,text/html,167,-,-
2025-12-26,20:39:35,HKG54-P1,315,202.120.37.109,HEAD,dbkbtek9v7jgv.cloudfront.net,/,404,-,Mozilla/5.0%20\(Linux;%20Android%206.0;%20Nexus%205%20Build/MRA58N)%20AppleWebKit/5d7.36%20\(KHTML%20like%20Gecko)%20Chrome/138.0.0.0%20Mobile%20Safari/537.36,-,-,Error,_gJpbLcSrVmxhmZqMDbnhEEsX0p3WfwLnsNplC_qFO94cHv6FxApyQ\=\=,dbkbtek9v7jgv.amplifyapp.com,https,249,0.261,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,35716,0.261,Error,-,-,-,-
2025-12-26,20:39:34,HKG54-P1,315,202.120.37.109,HEAD,dbkbtek9v7jgv.cloudfront.net,/,404,-,Mozilla/5.0%20\(Linux;%20Android%206.0;%20Nexus%205%20Build/MRA58N)%20AppleWebKit/5d7.36%20\(KHTML%20like%20Gecko)%20Chrome/138.0.0.0%20Mobile%20Safari/537.36,-,-,Error,CdG9xQ6bhRLWQrLyu2hGaVJLzcXYBe19mnpI7zQloVbaDrUBMJIhGw\=\=,dbkbtek9v7jgv.amplifyapp.com,https,249,0.284,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,38758,0.284,Error,-,-,-,-
2025-12-26,20:39:43,BOS50-P5,608,43.250.207.109,GET,dbkbtek9v7jgv.cloudfront.net,/,301,-,Mozilla/5.0%20\(X11;%20Linux%20x86_64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/137.0.0.0%20Safari/537.36,-,-,Redirect,rtg3c1C1Hmnlzzbi6uznKlwMxiywh1OLoDshS2xSAqFDbBEdDNg-8g\=\=,dbkbtek9v7jgv.amplifyapp.com,http,192,0.002,-,-,-,Redirect,HTTP/1.1,-,-,37810,0.002,Redirect,text/html,167,-,-
2025-12-26,20:39:50,IAD12-P2,608,18.235.94.119,GET,dbkbtek9v7jgv.cloudfront.net,/,301,-,Mozilla/5.0%20\(X11;%20Linux%20x86_64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/134.0.0.0%20Safari/537.36,-,-,Redirect,VLK0ImBVPW8z-hBZf4-Rka7IUNAgrgL99bq_Mlu-tQur97YTzQxRcw\=\=,dbkbtek9v7jgv.amplifyapp.com,http,214,0.002,-,-,-,Redirect,HTTP/1.1,-,-,55876,0.002,Redirect,text/html,167,-,-
2025-12-26,20:39:50,IAD12-P2,334,18.235.94.119,GET,dbkbtek9v7jgv.cloudfront.net,/,404,-,Mozilla/5.0%20\(X11;%20Linux%20x86_64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/134.0.0.0%20Safari/537.36,-,-,Error,KaVUog45vyjEgM4LcYUgiG0De_S6MiOqjv9UXs9uDgoM3EgPDCdR4Q\=\=,dbkbtek9v7jgv.amplifyapp.com,https,214,0.017,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,21702,0.017,Error,-,0,-,-
2025-12-26,20:40:03,LAX54-P9,219,104.253.252.246,GET,dbkbtek9v7jgv.cloudfront.net,/,404,-,Mozilla/5.0%20\(iPhone;%20CPU%20iPhone%20OS%2018_5%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20\(KHTML%20like%20Gecko)%20CriOS/138.0.7204.156%20Mobile/15E148%20Safari/604.1,-,-,Error,psNT2Tj2qYzplAJDkYyLHH8H5mwTD6SXQVqnKOk8VlJ8HcsBbWkTxQ\=\=,dbkbtek9v7jgv.amplifyapp.com,https,409,0.097,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,21794,0.097,Error,-,0,-,-
2025-12-26,20:40:03,JFK50-P3,220,103.4.250.73,GET,dbkbtek9v7jgv.cloudfront.net,/,404,-,Mozilla/5.0%20\(iPhone;%20CPU%20iPhone%20OS%2018_5%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20\(KHTML%20like%20Gecko)%20CriOS/138.0.7204.156%20Mobile/15E148%20Safari/604.1,-,-,Error,4UiLNb3ZQaGcqSzSEIIywKYoNENmjDfLOEk3lfVSqvTLQXDeAoayEg\=\=,dbkbtek9v7jgv.amplifyapp.com,https,409,0.030,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,35818,0.030,Error,-,0,-,-
2025-12-26,20:39:55,JFK50-P3,219,104.252.110.76,GET,dbkbtek9v7jgv.cloudfront.net,/,404,-,Mozilla/5.0%20\(iPhone;%20CPU%20iPhone%20OS%2018_5%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20\(KHTML%20like%20Gecko)%20CriOS/138.0.7204.156%20Mobile/15E148%20Safari/604.1,-,-,Error,c9g3n_9CSdTmXHt8CzvDvAyAGFV1dMjxs8E2XtA2QVgi39xUoUpHmQ\=\=,dbkbtek9v7jgv.amplifyapp.com,https,409,0.022,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,60044,0.022,Error,-,0,-,-
